Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,Attrition
0.21428571428571425,0.49463135289906934,0.03571428571428571,0.0,1.0,0.18571428571428567,0.0,0.25,1.0,0.21390205371248025,0.7347119052399117,0.3333333333333333,0.6428571428571427,1.0,0.3333333333333333,0.0,0.2,0.5,0.6666666666666667,0.15000000000000002,0.1111111111111111,0.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
0.5714285714285714,0.748031496062992,0.3214285714285714,0.5,0.6666666666666667,0.01428571428571429,0.6666666666666667,0.75,0.0,0.8314902580305424,0.5830957639028308,0.0,0.2142857142857143,0.0,0.6666666666666667,0.3333333333333333,0.525,0.8333333333333333,0.6666666666666667,0.5,0.38888888888888884,0.0,0.5294117647058824,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0.5714285714285714,0.3815318539727989,0.0,0.0,0.3333333333333333,0.9857142857142855,0.6666666666666667,0.25,0.6666666666666667,0.20526592943654556,0.9009435856253765,0.1111111111111111,0.9999999999999999,1.0,0.6666666666666667,0.0,0.5,0.5,0.6666666666666667,0.5,0.8888888888888888,0.7333333333333333,0.3529411764705882,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0.5476190476190477,0.937007874015748,0.6428571428571428,0.25,0.6666666666666667,0.08571428571428569,0.6666666666666667,0.25,0.0,0.10863612427593472,0.7140333266412366,0.2222222222222222,0.3571428571428571,0.0,0.0,0.6666666666666666,0.42500000000000004,0.3333333333333333,0.3333333333333333,0.025,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0.23809523809523808,0.7723693629205439,0.0,0.5,0.6666666666666667,0.7428571428571429,0.6666666666666667,0.0,1.0,0.054502369668246446,0.13800441678377834,0.1111111111111111,0.0,0.0,0.6666666666666667,0.3333333333333333,0.125,1.0,1.0,0.125,0.16666666666666666,0.0,0.1764705882352941,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
0.6428571428571428,0.9183965640658553,0.6785714285714285,0.25,0.6666666666666667,0.7,0.6666666666666667,0.75,1.0,0.6575566087414428,0.2171049989961855,0.0,0.2142857142857143,0.0,0.3333333333333333,0.0,0.525,0.3333333333333333,0.6666666666666667,0.5,0.38888888888888884,0.26666666666666666,0.5882352941176471,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.6904761904761905,0.80386542591267,0.03571428571428571,0.75,0.3333333333333333,0.24285714285714283,1.0,0.75,0.3333333333333333,0.7879410215903107,0.7625777956233688,0.6666666666666666,0.2142857142857143,0.0,0.6666666666666667,1.0,0.7250000000000001,0.3333333333333333,0.6666666666666667,0.07500000000000001,0.1111111111111111,0.06666666666666667,0.11764705882352941,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0.9523809523809523,0.2061560486757337,0.0,0.75,1.0,0.02857142857142858,0.0,0.25,0.6666666666666667,0.24491837809373354,0.6007628990162618,0.2222222222222222,0.1428571428571428,0.0,1.0,0.3333333333333333,0.30000000000000004,0.3333333333333333,0.6666666666666667,0.125,0.16666666666666666,0.06666666666666667,0.11764705882352941,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.7619047619047619,0.5991410164638511,0.8214285714285714,0.5,1.0,0.9285714285714286,0.6666666666666667,0.75,0.6666666666666667,0.6826750921537651,0.08299538245332264,0.3333333333333333,0.4999999999999999,0.0,1.0,0.3333333333333333,0.55,0.3333333333333333,0.6666666666666667,0.30000000000000004,0.611111111111111,0.06666666666666667,0.29411764705882354,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0.4047619047619047,0.7122405153901217,0.35714285714285715,0.25,0.6666666666666667,0.7,0.3333333333333333,0.5,0.0,0.46735123749341756,0.24926721541859062,0.2222222222222222,0.1428571428571428,0.0,0.6666666666666667,0.3333333333333333,0.25,0.5,0.6666666666666667,0.1,0.0,0.13333333333333333,0.1764705882352941,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
